,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,label,avg_time_between_rounds,avg_raised_amount_usd,industry,num_of_investors
4,10661772.8991108,operating,FRA,Paris,5,2012-12-15,2015-11-04,1,263.0,2132354.6,0_other_cat,17.0
13,1236454.0,operating,ITA,Roncade,3,2012-11-15,2014-06-01,1,281.0,412151.3333333333,Curated_Web,7.0
14,2942768.88931116,operating,ESP,Madrid,3,2010-10-20,2013-05-15,1,469.0,980923.0,Software,3.0
16,474116.56105524,operating,GBR,Warrington,4,2014-10-24,2014-10-24,1,0.0,118529.25,Clean_Technology,2.0
33,1121078.0,operating,GBR,Sunderland Bridge,4,2011-03-10,2013-08-15,1,296.0,280269.5,Advertising,6.0
35,234705.0,operating,DEU,Munich,3,2015-05-01,2015-05-01,1,0.0,78235.0,0_other_cat,3.0
39,1556687.0,operating,GBR,London,3,2014-11-10,2015-11-10,1,182.0,518895.6666666667,0_other_cat,1.0
49,38800000.0,operating,GBR,London,3,2013-05-07,2015-10-06,1,441.0,12933333.333333334,0_other_cat,9.0
55,10207905.0,operating,GBR,London,4,2011-05-25,2015-05-18,1,484.0,2551976.25,Biotechnology,8.0
59,12853396.0,operating,GBR,Oxford,3,2012-03-26,2015-06-30,1,595.0,4284465.333333333,Health_Care,2.0
70,16424363.0,operating,GBR,Runcorn,3,2008-12-03,2011-06-15,1,462.0,5474787.666666667,Clean_Technology,12.0
74,9280000.0,operating,GBR,London,4,2012-03-01,2014-01-01,1,223.0,3093333.3333333335,Internet,7.0
83,12050000.0,operating,SWE,Stockholm,4,2008-01-01,2012-06-25,1,545.0,6025000.0,Mobile,6.0
89,13274403.0,operating,GBR,London,3,2010-05-01,2014-07-01,1,761.0,13274403.0,E-Commerce,6.0
90,1998000.0,operating,DNK,Sønderborg,3,2005-12-28,2009-03-02,1,580.0,666000.0,Hardware_+_Software,3.0
104,3750000.0,operating,ISR,Tel Aviv,3,2008-10-01,2011-01-01,1,411.0,1250000.0,SaaS,3.0
108,10563501.0,operating,GBR,London,3,2009-07-01,2012-09-19,1,588.0,3521167.0,Software,10.0
